Path,ClassId
1\1_00001_00000_00000.png,0
1\1_00001_00000_00001.png,0
1\1_00001_00000_00002.png,0
1\1_00001_00000_00003.png,0
1\1_00001_00000_00004.png,0
1\1_00001_00000_00005.png,0
1\1_00001_00000_00006.png,0
1\1_00001_00000_00007.png,0
1\1_00001_00000_00008.png,0
1\1_00001_00000_00009.png,0
1\1_00001_00000_00010.png,0
1\1_00001_00000_00011.png,0
1\1_00001_00000_00012.png,0
1\1_00001_00000_00013.png,0
1\1_00001_00000_00014.png,0
1\1_00001_00000_00015.png,0
1\1_00001_00000_00016.png,0
1\1_00001_00000_00017.png,0
1\1_00001_00000_00018.png,0
1\1_00001_00000_00019.png,0
1\1_00001_00000_00020.png,0
1\1_00001_00000_00021.png,0
1\1_00001_00000_00022.png,0
1\1_00001_00000_00023.png,0
1\1_00001_00000_00024.png,0
1\1_00001_00000_00025.png,0
1\1_00001_00000_00026.png,0
1\1_00001_00000_00027.png,0
1\1_00001_00000_00028.png,0
1\1_00001_00000_00029.png,0
1\1_00001_00001_00000.png,0
1\1_00001_00001_00001.png,0
1\1_00001_00001_00002.png,0
1\1_00001_00001_00003.png,0
1\1_00001_00001_00004.png,0
1\1_00001_00001_00005.png,0
1\1_00001_00001_00006.png,0
1\1_00001_00001_00007.png,0
1\1_00001_00001_00008.png,0
1\1_00001_00001_00009.png,0
1\1_00001_00001_00010.png,0
1\1_00001_00001_00011.png,0
1\1_00001_00001_00012.png,0
1\1_00001_00001_00013.png,0
1\1_00001_00001_00014.png,0
1\1_00001_00001_00015.png,0
1\1_00001_00001_00016.png,0
1\1_00001_00001_00017.png,0
1\1_00001_00001_00018.png,0
1\1_00001_00001_00019.png,0
1\1_00001_00001_00020.png,0
1\1_00001_00001_00021.png,0
1\1_00001_00001_00022.png,0
1\1_00001_00001_00023.png,0
1\1_00001_00001_00024.png,0
1\1_00001_00001_00025.png,0
1\1_00001_00001_00026.png,0
1\1_00001_00001_00027.png,0
1\1_00001_00001_00028.png,0
1\1_00001_00001_00029.png,0
1\1_00001_00002_00000.png,0
1\1_00001_00002_00001.png,0
1\1_00001_00002_00002.png,0
1\1_00001_00002_00003.png,0
1\1_00001_00002_00004.png,0
1\1_00001_00002_00005.png,0
1\1_00001_00002_00006.png,0
1\1_00001_00002_00007.png,0
1\1_00001_00002_00008.png,0
1\1_00001_00002_00009.png,0
1\1_00001_00002_00010.png,0
1\1_00001_00002_00011.png,0
1\1_00001_00002_00012.png,0
1\1_00001_00002_00013.png,0
1\1_00001_00002_00014.png,0
1\1_00001_00002_00015.png,0
1\1_00001_00002_00016.png,0
1\1_00001_00002_00017.png,0
1\1_00001_00002_00018.png,0
1\1_00001_00002_00019.png,0
1\1_00001_00002_00020.png,0
1\1_00001_00002_00021.png,0
1\1_00001_00002_00022.png,0
1\1_00001_00002_00023.png,0
1\1_00001_00002_00024.png,0
1\1_00001_00002_00025.png,0
1\1_00001_00002_00026.png,0
1\1_00001_00002_00027.png,0
1\1_00001_00002_00028.png,0
1\1_00001_00002_00029.png,0
1\1_00001_00003_00000.png,0
1\1_00001_00003_00001.png,0
1\1_00001_00003_00002.png,0
1\1_00001_00003_00003.png,0
1\1_00001_00003_00004.png,0
1\1_00001_00003_00005.png,0
1\1_00001_00003_00006.png,0
1\1_00001_00003_00007.png,0
1\1_00001_00003_00008.png,0
1\1_00001_00003_00009.png,0
1\1_00001_00003_00010.png,0
1\1_00001_00003_00011.png,0
1\1_00001_00003_00012.png,0
1\1_00001_00003_00013.png,0
1\1_00001_00003_00014.png,0
1\1_00001_00003_00015.png,0
1\1_00001_00003_00016.png,0
1\1_00001_00003_00017.png,0
1\1_00001_00003_00018.png,0
1\1_00001_00003_00019.png,0
1\1_00001_00003_00020.png,0
1\1_00001_00003_00021.png,0
1\1_00001_00003_00022.png,0
1\1_00001_00003_00023.png,0
1\1_00001_00003_00024.png,0
1\1_00001_00003_00025.png,0
1\1_00001_00003_00026.png,0
1\1_00001_00003_00027.png,0
1\1_00001_00003_00028.png,0
1\1_00001_00003_00029.png,0
1\1_00001_00004_00000.png,0
1\1_00001_00004_00001.png,0
1\1_00001_00004_00002.png,0
1\1_00001_00004_00003.png,0
1\1_00001_00004_00004.png,0
1\1_00001_00004_00005.png,0
1\1_00001_00004_00006.png,0
1\1_00001_00004_00007.png,0
1\1_00001_00004_00008.png,0
1\1_00001_00004_00009.png,0
1\1_00001_00004_00010.png,0
1\1_00001_00004_00011.png,0
1\1_00001_00004_00012.png,0
1\1_00001_00004_00013.png,0
1\1_00001_00004_00014.png,0
1\1_00001_00004_00015.png,0
1\1_00001_00004_00016.png,0
1\1_00001_00004_00017.png,0
1\1_00001_00004_00018.png,0
1\1_00001_00004_00019.png,0
1\1_00001_00004_00020.png,0
1\1_00001_00004_00021.png,0
1\1_00001_00004_00022.png,0
1\1_00001_00004_00023.png,0
1\1_00001_00004_00024.png,0
1\1_00001_00004_00025.png,0
1\1_00001_00004_00026.png,0
1\1_00001_00004_00027.png,0
1\1_00001_00004_00028.png,0
1\1_00001_00004_00029.png,0
1\1_00001_00005_00000.png,0
1\1_00001_00005_00001.png,0
1\1_00001_00005_00002.png,0
1\1_00001_00005_00003.png,0
1\1_00001_00005_00004.png,0
1\1_00001_00005_00005.png,0
1\1_00001_00005_00006.png,0
1\1_00001_00005_00007.png,0
1\1_00001_00005_00008.png,0
1\1_00001_00005_00009.png,0
1\1_00001_00005_00010.png,0
1\1_00001_00005_00011.png,0
1\1_00001_00005_00012.png,0
1\1_00001_00005_00013.png,0
1\1_00001_00005_00014.png,0
1\1_00001_00005_00015.png,0
1\1_00001_00005_00016.png,0
1\1_00001_00005_00017.png,0
1\1_00001_00005_00018.png,0
1\1_00001_00005_00019.png,0
1\1_00001_00005_00020.png,0
1\1_00001_00005_00021.png,0
1\1_00001_00005_00022.png,0
1\1_00001_00005_00023.png,0
1\1_00001_00005_00024.png,0
1\1_00001_00005_00025.png,0
1\1_00001_00005_00026.png,0
1\1_00001_00005_00027.png,0
1\1_00001_00005_00028.png,0
1\1_00001_00005_00029.png,0
1\1_00001_00006_00000.png,0
1\1_00001_00006_00001.png,0
1\1_00001_00006_00002.png,0
1\1_00001_00006_00003.png,0
1\1_00001_00006_00004.png,0
1\1_00001_00006_00005.png,0
1\1_00001_00006_00006.png,0
1\1_00001_00006_00007.png,0
1\1_00001_00006_00008.png,0
1\1_00001_00006_00009.png,0
1\1_00001_00006_00010.png,0
1\1_00001_00006_00011.png,0
1\1_00001_00006_00012.png,0
1\1_00001_00006_00013.png,0
1\1_00001_00006_00014.png,0
1\1_00001_00006_00015.png,0
1\1_00001_00006_00016.png,0
1\1_00001_00006_00017.png,0
1\1_00001_00006_00018.png,0
1\1_00001_00006_00019.png,0
1\1_00001_00006_00020.png,0
1\1_00001_00006_00021.png,0
1\1_00001_00006_00022.png,0
1\1_00001_00006_00023.png,0
1\1_00001_00006_00024.png,0
1\1_00001_00006_00025.png,0
1\1_00001_00006_00026.png,0
1\1_00001_00006_00027.png,0
1\1_00001_00006_00028.png,0
1\1_00001_00006_00029.png,0
1\1_00001_00007_00000.png,0
1\1_00001_00007_00001.png,0
1\1_00001_00007_00002.png,0
1\1_00001_00007_00003.png,0
1\1_00001_00007_00004.png,0
1\1_00001_00007_00005.png,0
1\1_00001_00007_00006.png,0
1\1_00001_00007_00007.png,0
1\1_00001_00007_00008.png,0
1\1_00001_00007_00009.png,0
1\1_00001_00007_00010.png,0
1\1_00001_00007_00011.png,0
1\1_00001_00007_00012.png,0
1\1_00001_00007_00013.png,0
1\1_00001_00007_00014.png,0
1\1_00001_00007_00015.png,0
1\1_00001_00007_00016.png,0
1\1_00001_00007_00017.png,0
1\1_00001_00007_00018.png,0
1\1_00001_00007_00019.png,0
1\1_00001_00007_00020.png,0
1\1_00001_00007_00021.png,0
1\1_00001_00007_00022.png,0
1\1_00001_00007_00023.png,0
1\1_00001_00007_00024.png,0
1\1_00001_00007_00025.png,0
1\1_00001_00007_00026.png,0
1\1_00001_00007_00027.png,0
1\1_00001_00007_00028.png,0
1\1_00001_00007_00029.png,0
1\1_00001_00008_00000.png,0
1\1_00001_00008_00001.png,0
1\1_00001_00008_00002.png,0
1\1_00001_00008_00003.png,0
1\1_00001_00008_00004.png,0
1\1_00001_00008_00005.png,0
1\1_00001_00008_00006.png,0
